definition.description,definition.solution,severity,asset.display_ipv4_address,port,protocol,asset.host_name,definition.cve
CVE-2020-79632: IIS on Windows Server 2022 offers MD5-based cipher suites. An attacker can escalate privileges to SYSTEM or root through reflected JavaScript payloads in query parameters. Listening on port 443/TCP.,Update Lighttpd to version 1.0.1 which includes SQLi fixes. Enable WAF rules for SQL injection patterns.,6.7,10.1.217.48,8080,TCP,ws-10-1-217-48,CVE-2020-96356
"Stack-based buffer overflow in FreeBSD kernel (version 1.1.0) on Debian 12 (Bookworm) — CVE-2021-23593. The vulnerability exists in the sprintf call at /usr/local/bin/, enabling an attacker to inject malicious payloads into database queries.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",10.0,192.168.10.54,23,TCP,app-192-168-10-54,CVE-2021-63013
IIS 3.1.2 on Fedora 36 is affected by a critical RCE vulnerability (CVE-2022-44275). An unauthenticated remote attacker can crash the service and trigger a denial of service through a specially crafted packet. Vulnerable endpoint: C:\Windows\System32\. Port: 443/TCP.,Apply the vendor patch for CVE-2022-71926 immediately. Upgrade Nginx to version 8.0.3 or later.,9.2,192.168.10.240,9090,TCP,app-192-168-10-240,
"Stored XSS vulnerability in Tomcat (5.2.0) on Debian 11 (Bullseye) (CVE-2021-43330). The profile field stores unescaped HTML, enabling attackers to escalate privileges to SYSTEM or root. App at /usr/local/bin/; port 8080/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,8.7,10.0.213.95,443,TCP,print-10-0-213-95,CVE-2021-56720
Linux kernel 1.3.7 on Windows Server 2019 contains a heap-based buffer overflow (CVE-2021-95267). A local or remote attacker can modify or delete critical system files via a crafted HTTP request. Affected subsystem: syscall handler. Port: 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 21.",8.7,10.2.67.30,445,TCP,ws-10-2-67-30,
"NSS version 2.2.0 on Fedora 36 is affected by CVE-2022-80341. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to read sensitive memory contents by sending a malformed TLS ClientHello. Affected path: /srv/www/. Port: 993/TCP.",Apply all pending OS security patches using the system package manager (apt/yum/dnf). Reboot after kernel updates.,6.4,10.2.129.234,995,TCP,ws-10-2-129-234,CVE-2022-37535
"SUID binary misconfiguration on Windows Server 2016 (CVE-2022-84100). The sudo binary at /etc/mysql/ has incorrect SUID bits, allowing a local user to execute arbitrary code with elevated privileges by abusing a misconfigured SNMP community string. OS: Red Hat Enterprise Linux 9; port 135/TCP.",Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,8.5,192.168.10.103,3389,TCP,app-192-168-10-103,CVE-2022-99399
"Outdated Intel NIC driver (6.0.0) installed on Red Hat Enterprise Linux 8 (CVE-2018-31437). The driver exposes an IOCTL handler with insufficient input validation, allowing a local attacker to forge authentication tokens. Path: C:\Program Files\.",Restrict DNS zone transfers to authorized secondary servers only. Add 'allow-transfer { <IP>; }' in C:\Program Files\named.conf.,4.4,10.1.19.242,135,TCP,db-10-1-19-242,
CVE-2023-28997: Self-signed or expired TLS certificate on CentOS 7 (NSS 5.2.0). Certificate expiry allows attackers to read sensitive memory contents via SQL metacharacter injection in the login form. Cert directory: /etc/snmp/; port 443/TCP.,Apply the kernel patch provided in CVE-2022-51321 bulletin. Reboot the system after the update.,4.7,10.2.71.119,443,TCP,web-10-2-71-119,CVE-2023-51333
CVE-2020-90649: Lighttpd on Windows 10 Enterprise offers export-grade cipher suites. An attacker can exfiltrate confidential data from the host by sending a malformed TLS ClientHello. Listening on port 8443/TCP.,Update Lighttpd to version 1.0.1 which includes SQLi fixes. Enable WAF rules for SQL injection patterns.,6.9,10.0.149.123,443,TCP,nas-10-0-149-123,CVE-2020-17928
CVE-2020-51831: Lighttpd on Debian 10 (Buster) offers ANON cipher suites. An attacker can read sensitive memory contents by exploiting a use-after-free condition. Listening on port 8080/TCP.,Update IIS to version 8.2.1 which includes SQLi fixes. Enable WAF rules for SQL injection patterns.,5.4,192.168.10.54,443,TCP,app-192-168-10-54,CVE-2020-99218
"Deserialization RCE in Jetty (3.0.0) on Debian 12 (Bookworm) (CVE-2022-37443). Untrusted user data is deserialized without validation at /var/log/, allowing an attacker to modify or delete critical system files. Port: 9090/TCP.",Run 'pip install --upgrade zlib' or 'npm audit fix' to update vulnerable dependencies at /etc/nginx/.,8.2,10.1.11.170,22,TCP,web-10-1-11-170,CVE-2022-40613
"Outdated NSS (6.0.0) detected on Ubuntu 18.04 LTS (CVE-2022-53481). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to escalate privileges to SYSTEM or root. Port 8443/TCP; config at /usr/lib/ssl/.",Generate a new CSR and obtain a renewed certificate from Comodo. Update the certificate at /etc/ssh/.,8.4,172.16.1.31,636,TCP,web-172-16-1-31,CVE-2022-32946
CVE-2023-80458: Unpatched glibc 1.1.0 on Red Hat Enterprise Linux 8. Multiple known CVEs affect this version. An attacker can modify or delete critical system files via a crafted HTTP request. Port: 80/TCP; installed at /var/www/html/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.7,172.16.0.230,22,TCP,print-172-16-0-230,CVE-2023-91062
"IIS 1.3.7 on Ubuntu 18.04 LTS is affected by a SQL injection vulnerability (CVE-2022-98795). The application fails to sanitize user input in the search endpoint, allowing an attacker to gain root-level access to the system through a race condition in the kernel scheduler. Backend: MySQL. Port: 8080/TCP.",Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,7.0,10.2.129.234,443,TCP,ws-10-2-129-234,
"Outdated NSS (7.1.0) detected on Ubuntu 20.04 LTS (CVE-2022-96760). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to exfiltrate confidential data from the host. Port 995/TCP; config at /usr/lib/ssl/.",Upgrade to SNMPv3 with authPriv security level. Disable SNMPv1/v2c and remove default community strings.,9.3,192.168.1.17,8443,TCP,fw-192-168-1-17,
"Outdated MbedTLS (3.0.0) detected on Fedora 36 (CVE-2022-59941). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to enumerate internal network hosts. Port 636/TCP; config at /etc/nginx/.",Generate a new CSR and obtain a renewed certificate from Let. Update the certificate at C:\Windows\System32\.,7.1,10.1.19.242,443,TCP,db-10-1-19-242,CVE-2022-61116
CVE-2022-93558: Sudo policy misconfiguration on Red Hat Enterprise Linux 8 (version 3.0.0). An unprivileged user can execute arbitrary code with elevated privileges via the sudo NOPASSWD rule at /opt/app/. Port: 3389/TCP.,Remove unused software packages and disable associated xinetd services in C:\Program Files\.,8.2,192.168.1.58,22,TCP,db-192-168-1-58,CVE-2022-38683
"DNSSEC not configured on Ubuntu 22.04 LTS running dnsmasq 4.0.0 (CVE-2020-85850). DNS responses are unsigned and can be spoofed, allowing an attacker to exfiltrate confidential data from the host. Port: 53/UDP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.1,10.1.113.207,53,UDP,nas-10-1-113-207,CVE-2020-13325
CVE-2022-20208: NSS 4.0.0 on Debian 10 (Buster) ships with a vulnerable TLS stack. An attacker by abusing a misconfigured SNMP community string could enumerate internal network hosts. Binaries located at /var/www/html/. Listening on port 8443/TCP.,"Use Windows Update / WSUS to apply KB5025221 and restart the system. Additionally, verify patch 36.",7.2,10.0.172.168,993,TCP,ws-10-0-172-168,
CVE-2022-60793: LibreSSL 4.0.0 on Windows Server 2022 ships with a vulnerable TLS stack. An attacker by sending a malformed TLS ClientHello could read sensitive memory contents. Binaries located at C:\Program Files\. Listening on port 443/TCP.,"Change the SNMP community string from 'monitor' to a strong, random value. Restrict SNMP access by IP in /usr/lib/ssl/snmpd.conf.",7.0,172.16.0.172,8443,TCP,fw-172-16-0-172,CVE-2022-94080
CVE-2022-52125: Sudo policy misconfiguration on Ubuntu 20.04 LTS (version 5.2.0). An unprivileged user can gain root-level access to the system via the sudo NOPASSWD rule at /etc/openssl/. Port: 135/TCP.,"Implement micro-segmentation with host-based firewalls. Restrict traffic to only required ports between segments. Additionally, verify patch 9.",8.1,192.168.1.172,3389,TCP,fw-192-168-1-172,CVE-2022-98452
"Outdated OpenSSL (1.3.7) detected on SUSE Linux Enterprise 15 (CVE-2022-88215). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to steal session tokens or credentials. Port 443/TCP; config at /srv/www/.",Generate a new CSR and obtain a renewed certificate from Comodo. Update the certificate at /etc/ssh/.,8.5,172.16.0.93,443,TCP,web-172-16-0-93,CVE-2022-64548
"Lighttpd 9.0.0 on Alpine Linux 3.17 is configured to accept weak cryptographic ciphers (CVE-2020-21537). Supported suites include DES ciphers, allowing a MITM attacker to bypass authentication controls. Config file: /srv/www/. Port: 8080/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,6.6,192.168.1.68,443,TCP,gw-192-168-1-68,
"Outdated NSS (2.0.0) detected on Fedora 36 (CVE-2022-34672). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to modify or delete critical system files. Port 993/TCP; config at /var/log/.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,6.2,172.16.0.172,636,TCP,fw-172-16-0-172,CVE-2022-60968
"Stored XSS vulnerability in Jetty (3.4.5) on Windows Server 2016 (CVE-2021-41752). The profile field stores unescaped HTML, enabling attackers to steal session tokens or credentials. App at /var/www/html/; port 8080/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,7.2,10.0.158.21,8080,TCP,gw-10-0-158-21,
"CVE-2022-75535: Template injection leading to RCE in IIS 4.0.0 on Ubuntu 18.04 LTS. Server-side template expressions are evaluated from user input at /var/lib/mysql/, enabling an attacker to forge authentication tokens through reflected JavaScript payloads in query parameters. Port: 8080/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,8.0,10.1.6.190,443,TCP,app-10-1-6-190,CVE-2022-94717
"Stored XSS vulnerability in Tomcat (5.2.0) on Debian 11 (Bullseye) (CVE-2021-43330). The profile field stores unescaped HTML, enabling attackers to escalate privileges to SYSTEM or root. App at /usr/local/bin/; port 8080/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,4.4,172.16.1.36,443,TCP,gw-172-16-1-36,CVE-2021-65279
Expired X.509 certificate detected (CVE-2023-77489) on Debian 10 (Buster). The certificate for api.internal signed by DigiCert has expired. Service: Jetty on port 8443/TCP.,Upgrade to a supported kernel release via the distribution's security channel. Verify with 'uname -r' after reboot.,5.1,172.16.0.49,8443,TCP,ws-172-16-0-49,CVE-2023-24789
Linux kernel 3.0.0 on SUSE Linux Enterprise 15 contains a heap-based buffer overflow (CVE-2021-40475). A local or remote attacker can crash the service and trigger a denial of service through improper bounds checking. Affected subsystem: syscall handler. Port: 23/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.7,192.168.2.40,22,TCP,web-192-168-2-40,CVE-2021-46726
"MbedTLS version 2.2.0 on Fedora 36 is affected by CVE-2022-64602. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to inject malicious payloads into database queries through a race condition in the kernel scheduler. Affected path: /var/log/. Port: 636/TCP.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,7.7,192.168.1.72,636,TCP,dc-192-168-1-72,
"NSS version 2.2.0 on Fedora 36 is affected by CVE-2022-80341. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to read sensitive memory contents by sending a malformed TLS ClientHello. Affected path: /srv/www/. Port: 993/TCP.","Apply all pending OS security patches using the system package manager (apt/yum/dnf). Reboot after kernel updates. Additionally, verify patch 6.",8.1,10.1.19.242,993,TCP,db-10-1-19-242,CVE-2022-20641
"The SNMP agent running on Red Hat Enterprise Linux 8 (version 2.1.4) exposes management data without authentication (CVE-2019-86099). SNMPv1/v2c community strings are transmitted in cleartext, enabling a network attacker to perform man-in-the-middle attacks. Affected service: Net-SNMP on port 161/UDP.",Install OpenSSL >= 1.3.7 from the official repository. Recompile applications that statically link the library.,5.1,192.168.1.149,161,UDP,print-192-168-1-149,CVE-2019-64507
CVE-2020-50959: Tomcat on Ubuntu 20.04 LTS offers ANON cipher suites. An attacker can steal session tokens or credentials via a crafted HTTP request. Listening on port 8080/TCP.,Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at /etc/mysql/.,6.1,10.2.67.36,8080,TCP,web-10-2-67-36,CVE-2020-26315
BIND9 2.0.0 on Ubuntu 18.04 LTS allows unauthenticated zone transfers (CVE-2020-54186). An attacker can perform a full DNS zone transfer by exploiting weak entropy in session token generation to escalate privileges to SYSTEM or root. Configuration file: /var/lib/mysql/. Port: 53/UDP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,5.1,10.1.155.163,53,UDP,db-10-1-155-163,CVE-2020-68262
End-of-life libxml2 (1.3.7) installed on Ubuntu 20.04 LTS (CVE-2023-34150). No security patches are available for this version; an attacker can enumerate internal network hosts. Binary path: /srv/www/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.2,172.16.1.1,21,TCP,app-172-16-1-1,
CVE-2023-86962: Self-signed or expired TLS certificate on Fedora 37 (OpenSSL 2.0.0). Certificate expiry allows attackers to bypass authentication controls through improper bounds checking. Cert directory: /opt/app/; port 8443/TCP.,Apply the kernel patch provided in CVE-2022-51321 bulletin. Reboot the system after the update.,5.7,172.16.0.25,443,TCP,fw-172-16-0-25,CVE-2023-20772
"MbedTLS version 1.3.7 on Debian 10 (Buster) is affected by CVE-2022-51071. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to perform man-in-the-middle attacks by exploiting a use-after-free condition. Affected path: C:\Windows\System32\. Port: 8443/TCP.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /var/log/. Verify with 'nmap --script ssl-enum-ciphers'.,7.9,10.2.104.125,993,TCP,dc-10-2-104-125,
libssl version 8.2.1 on Fedora 36 is outdated and affected by CVE-2023-15881. The package contains a known vulnerability that allows an attacker to escalate privileges to SYSTEM or root through reflected JavaScript payloads in query parameters. Package location: /var/www/html/. Port: 80/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.0,192.168.1.42,21,TCP,dc-192-168-1-42,CVE-2023-38155
"Outdated NSS (8.2.1) detected on Alpine Linux 3.17 (CVE-2022-52622). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to gain root-level access to the system. Port 995/TCP; config at /srv/www/.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,6.8,192.168.10.27,636,TCP,ws-192-168-10-27,
Expired X.509 certificate detected (CVE-2023-77489) on Debian 10 (Buster). The certificate for api.internal signed by DigiCert has expired. Service: Jetty on port 8443/TCP.,Download and install the latest driver version (1.1.0) from the vendor website. Restart the network service.,5.2,10.1.54.234,443,TCP,print-10-1-54-234,CVE-2023-49709
"IIS 9.0.0 on Windows 11 Pro is configured to accept weak cryptographic ciphers (CVE-2020-91681). Supported suites include DES ciphers, allowing a MITM attacker to inject malicious payloads into database queries. Config file: /var/www/html/. Port: 443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,7.8,10.2.67.30,443,TCP,ws-10-2-67-30,CVE-2020-98575
CVE-2020-51831: Lighttpd on Debian 10 (Buster) offers ANON cipher suites. An attacker can read sensitive memory contents by exploiting a use-after-free condition. Listening on port 8080/TCP.,Update IIS to version 8.2.1 which includes SQLi fixes. Enable WAF rules for SQL injection patterns.,4.9,192.168.10.54,443,TCP,app-192-168-10-54,
"OpenSSL version 4.0.0 on Red Hat Enterprise Linux 8 is affected by CVE-2022-20803. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to enumerate internal network hosts through a race condition in the kernel scheduler. Affected path: /etc/openssl/. Port: 443/TCP.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,9.5,10.1.75.112,993,TCP,db-10-1-75-112,CVE-2022-40340
Apache httpd 9.0.0 on Ubuntu 22.04 LTS is affected by a critical RCE vulnerability (CVE-2022-79438). An unauthenticated remote attacker can gain root-level access to the system by exploiting weak entropy in session token generation. Vulnerable endpoint: /etc/openssl/. Port: 443/TCP.,Update Jetty to the latest version (1.3.7). Restrict network access to port 9090 from untrusted networks.,9.3,192.168.2.253,22,TCP,ws-192-168-2-253,CVE-2022-29340
CVE-2022-93558: Sudo policy misconfiguration on Red Hat Enterprise Linux 8 (version 3.0.0). An unprivileged user can execute arbitrary code with elevated privileges via the sudo NOPASSWD rule at /opt/app/. Port: 3389/TCP.,Remove unused software packages and disable associated xinetd services in C:\Program Files\.,8.0,192.168.10.55,135,TCP,dc-192-168-10-55,CVE-2022-67154
"HTTP Strict Transport Security (HSTS) not enabled on Windows 11 Pro (Lighttpd 2.3.1, CVE-2021-99610). Absence of HSTS allows protocol downgrade, enabling attackers to escalate privileges to SYSTEM or root. Server config at C:\Program Files\; port 80/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.1,10.0.191.81,443,TCP,srv-10-0-191-81,CVE-2021-13513
expat version 3.4.5 on Red Hat Enterprise Linux 9 is outdated and affected by CVE-2023-31565. The package contains a known vulnerability that allows an attacker to bypass authentication controls by sending a malformed TLS ClientHello. Package location: C:\inetpub\wwwroot\. Port: 21/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.6,10.1.151.109,21,TCP,srv-10-1-151-109,CVE-2023-66328
python3-lib version 1.2.3 on CentOS 8 Stream is outdated and affected by CVE-2023-57409. The package contains a known vulnerability that allows an attacker to execute arbitrary code with elevated privileges via an integer overflow in the parsing routine. Package location: /etc/ssl/certs/. Port: 22/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,5.4,172.16.1.81,22,TCP,ws-172-16-1-81,CVE-2023-16029
End-of-life sudo (5.2.0) installed on Oracle Linux 8 (CVE-2023-78822). No security patches are available for this version; an attacker can perform man-in-the-middle attacks. Binary path: /etc/mysql/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.0,10.1.162.109,22,TCP,app-10-1-162-109,CVE-2023-80349
FreeBSD kernel 3.4.5 on Debian 10 (Buster) contains a heap-based buffer overflow (CVE-2021-22616). A local or remote attacker can steal session tokens or credentials through a race condition in the kernel scheduler. Affected subsystem: memory allocator. Port: 22/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",9.2,10.2.97.1,445,TCP,gw-10-2-97-1,CVE-2021-17438
"Stack-based buffer overflow in FreeBSD kernel (version 4.0.0) on Windows 11 Pro — CVE-2021-24945. The vulnerability exists in the copy_from_user call at /etc/ssh/, enabling an attacker to execute arbitrary code with elevated privileges.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",9.5,10.1.19.242,23,TCP,db-10-1-19-242,CVE-2021-96144
"SUID binary misconfiguration on Windows Server 2019 (CVE-2022-99600). The pkexec binary at /etc/snmp/ has incorrect SUID bits, allowing a local user to enumerate internal network hosts by abusing a misconfigured SNMP community string. OS: Windows Server 2019; port 135/TCP.",Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,9.4,192.168.10.19,3389,TCP,nas-192-168-10-19,
"HTTP Strict Transport Security (HSTS) not enabled on CentOS 7 (Lighttpd 9.0.0, CVE-2021-46553). Absence of HSTS allows protocol downgrade, enabling attackers to exfiltrate confidential data from the host. Server config at /etc/snmp/; port 8080/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.2,192.168.2.109,80,TCP,nas-192-168-2-109,CVE-2021-73147
Broadcom WiFi driver version 5.0.1 on Windows 10 Enterprise contains a compatibility flaw (CVE-2018-51766). An unprivileged local attacker can crash the service and trigger a denial of service through a race condition in the kernel scheduler. Affected driver binary: /home/user/.ssh/. Port: 139/TCP.,Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,2.8,10.2.171.166,139,TCP,app-10-2-171-166,CVE-2018-99574
"Deserialization RCE in Nginx (3.0.0) on SUSE Linux Enterprise 15 (CVE-2022-55953). Untrusted user data is deserialized without validation at /usr/share/snmp/, allowing an attacker to modify or delete critical system files. Port: 8080/TCP.",Upgrade libssl to version 5.0.1 or later using the system package manager.,9.9,10.2.67.136,22,TCP,print-10-2-67-136,CVE-2022-54725
PAM 8.2.1 on Debian 10 (Buster) is affected by an authentication bypass (CVE-2023-29356). An attacker can crash the service and trigger a denial of service through reflected JavaScript payloads in query parameters without valid credentials. Affected component: /usr/lib/ssl/. Port: 443/TCP.,Update OpenSSH to version 1.3.7. Disable SSH protocol 1 and weak key exchange algorithms.,9.1,10.0.117.160,389,TCP,print-10-0-117-160,CVE-2023-88765
Windows NT kernel 4.0.0 on Windows Server 2016 is affected by a local privilege escalation (CVE-2022-21624). A low-privileged attacker can exfiltrate confidential data from the host by exploiting weak entropy in session token generation. Affected path: /srv/www/. Port: 445/TCP.,Remove unused software packages and disable associated inetd services in /var/lib/mysql/.,7.5,192.168.1.2,22,TCP,ws-192-168-1-2,CVE-2022-94246
CVE-2022-81950: Sudo policy misconfiguration on Fedora 36 (version 8.0.3). An unprivileged user can perform man-in-the-middle attacks via the sudo NOPASSWD rule at /var/log/. Port: 445/TCP.,"Implement micro-segmentation with host-based firewalls. Restrict traffic to only required ports between segments. Additionally, verify patch 24.",8.1,172.16.1.36,22,TCP,gw-172-16-1-36,
"BoringSSL version 3.4.5 on Windows 11 Pro is affected by CVE-2022-37114. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to exfiltrate confidential data from the host through reflected JavaScript payloads in query parameters. Affected path: /etc/nginx/. Port: 993/TCP.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,6.1,10.1.168.111,8443,TCP,fw-10-1-168-111,CVE-2022-31465
VMware VMXNET3 driver version 1.3.7 on Debian 11 (Bullseye) contains a compatibility flaw (CVE-2018-94815). An unprivileged local attacker can exfiltrate confidential data from the host by sending a malformed TLS ClientHello. Affected driver binary: /usr/lib/ssl/. Port: 135/TCP.,Configure Content-Security-Policy in /srv/www/ to restrict script sources. Add X-Content-Type-Options: nosniff.,3.7,192.168.2.197,135,TCP,fw-192-168-2-197,CVE-2018-14333
CVE-2021-96305: FreeBSD kernel 7.1.0 on Debian 11 (Bullseye) is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can inject malicious payloads into database queries via a crafted HTTP request. Kernel module path: /srv/www/; exposed via port 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.4,172.16.0.25,22,TCP,fw-172-16-0-25,
"Outdated MbedTLS (3.1.2) detected on CentOS 8 Stream (CVE-2022-21846). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to gain root-level access to the system. Port 443/TCP; config at /etc/nginx/.","Use Windows Update / WSUS to apply KB5026361 and restart the system. Additionally, verify patch 26.",7.3,192.168.10.42,993,TCP,fw-192-168-10-42,CVE-2022-65771
"TLS certificate on Debian 10 (Buster) (Lighttpd 3.1.2) expired on 2020-12-31. CVE-2023-88694: certificate chain validation fails, enabling a MITM attacker to forge authentication tokens. Port: 8443/TCP; cert path: C:\Program Files\.",Review and restrict sudoers rules in /var/lib/mysql/. Remove NOPASSWD entries for sensitive commands.,5.2,192.168.1.68,8443,TCP,gw-192-168-1-68,CVE-2023-74819
"BoringSSL version 2.1.4 on Windows Server 2016 is affected by CVE-2022-17806. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to read sensitive memory contents via a heap buffer overflow in the DNS response handler. Affected path: /usr/lib/ssl/. Port: 443/TCP.",Install OpenSSL >= 1.3.7 from the official repository. Recompile applications that statically link the library.,7.5,192.168.1.72,995,TCP,dc-192-168-1-72,CVE-2022-80457
"TLS certificate on Red Hat Enterprise Linux 9 (Lighttpd 8.0.3) expired on 2020-12-31. CVE-2023-39428: certificate chain validation fails, enabling a MITM attacker to execute arbitrary code with elevated privileges. Port: 443/TCP; cert path: /usr/lib/ssl/.",Apply the kernel patch provided in CVE-2022-51321 bulletin. Reboot the system after the update.,5.2,10.0.150.142,8443,TCP,web-10-0-150-142,CVE-2023-22887
python3-lib version 1.2.3 on CentOS 8 Stream is outdated and affected by CVE-2023-57409. The package contains a known vulnerability that allows an attacker to execute arbitrary code with elevated privileges via an integer overflow in the parsing routine. Package location: /etc/ssl/certs/. Port: 22/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.0,172.16.0.230,443,TCP,print-172-16-0-230,
Weak cipher suite enabled on Ubuntu 18.04 LTS running OpenSSL 4.1.3 (CVE-2020-44922). The CBC cipher allows an attacker to forge authentication tokens by sending a malformed TLS ClientHello. Port: 8080/TCP; config: /usr/local/bin/.,"Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at /usr/share/snmp/. Additionally, verify patch 33.",7.9,10.0.149.123,8080,TCP,nas-10-0-149-123,
"CVE-2022-75535: Template injection leading to RCE in IIS 4.0.0 on Ubuntu 18.04 LTS. Server-side template expressions are evaluated from user input at /var/lib/mysql/, enabling an attacker to forge authentication tokens through reflected JavaScript payloads in query parameters. Port: 8080/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,8.9,192.168.1.58,443,TCP,db-192-168-1-58,CVE-2022-52516
CVE-2021-31020: Linux kernel 8.0.3 on SUSE Linux Enterprise 15 is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can bypass authentication controls by exploiting weak entropy in session token generation. Kernel module path: /opt/app/; exposed via port 23/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.5,10.1.54.234,22,TCP,print-10-1-54-234,CVE-2021-43345
"OpenSSL version 1.3.7 on Oracle Linux 8 is affected by CVE-2022-29516. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to bypass authentication controls via a heap buffer overflow in the DNS response handler. Affected path: /srv/www/. Port: 636/TCP.",Generate a new CSR and obtain a renewed certificate from Comodo. Update the certificate at /etc/ssh/.,6.4,192.168.10.103,993,TCP,app-192-168-10-103,CVE-2022-38683
End-of-life libpng (3.4.5) installed on Windows Server 2016 (CVE-2023-25461). No security patches are available for this version; an attacker can crash the service and trigger a denial of service. Binary path: C:\inetpub\wwwroot\.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,5.1,192.168.1.139,21,TCP,db-192-168-1-139,
Linux kernel 1.3.7 on Windows Server 2019 contains a heap-based buffer overflow (CVE-2021-95267). A local or remote attacker can modify or delete critical system files via a crafted HTTP request. Affected subsystem: syscall handler. Port: 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.3,10.2.67.136,23,TCP,print-10-2-67-136,
